question;answer
Какое движение последовало за движением Готика?;Возрождение
Какое движение последовало за движением Готика?;Возрождение
В каком году умер/умерла Колантонио?;1460
Кто создал произведение "Праздник венков из роз"?;Альбрехт Дюрер
Какое движение последовало за движением Американский импрессионизм?;Раннее возрождение
К какому движению принадлежит Зинаида Евгеньевна Серебрякова?;Импрессионизм
К какому движению принадлежит произведение "С видом на Балтийское море"?;Романтизм
Кто создал произведение "Айсберги"?;Фредерик Эдвин Чёрч
В каком году умер/умерла Фредерик Кезервуд?;1854
Какое движение предшествовало движению Каталонский модернизм?;Импрессионизм
В каком году умер/умерла Джон Уильям Уотерхаус?;1917
В каком году закончилось движение Современное искусство?;1900
Какое движение последовало за движением Вулканическая школа?;Барокко
В каком году зародилось движение Реализм?;1848
Какое движение предшествовало движению Символизм?;Импрессионизм
В каком году закончилось движение Возрождение?;1700
Кто создал произведение "Портрет молодой женщины (картина Боттичелли, 1480—1485)"?;Сандро Боттичелли
Какое движение последовало за движением Наивное искусство?;Барокко
В каком году было создано произведение "Битва при Лепанто"?;1571
К какому движению принадлежит произведение "Портрет Филиппа IV"?;Барокко
Из какой страны происходит Урс Аманн?;Швейцария
В каком году закончилось движение Классицизм?;1700
Какое движение последовало за движением Кубофутуризм?;Возрождение
Какое движение предшествовало движению Школа реки Гудзон?;Импрессионизм
В каком году было создано произведение "Клевета"?;1495
В каком году умер/умерла Марсель Дюшан?;1968
Из какой страны происходит Леонардо да Винчи?;Флорентийская республика
К какому движению принадлежит произведение "Смерть и девушка"?;Экспрессионизм
В каком году умер/умерла Ян ван Эйк?;1441
Какое движение последовало за движением Раннее Возрождение?;Высокий ренессанс
Кто создал произведение "Сад земных наслаждений"?;Иероним Босх
Какое движение предшествовало движению Каталонский модернизм?;Импрессионизм
Какое движение последовало за движением Импрессионизм?;Постимпрессионизм
В каком году было создано произведение "Брак в Кане Галилейской"?;1563
В каком году закончилось движение Барокко?;1750
Кто создал произведение "Портрет неизвестного с медалью"?;Сандро Боттичелли
В каком году было создано произведение "Портрет папы Юлия II"?;1511
В каком году родился/родилась Александр Михайлович Семёнов?;1922
В каком году закончилось движение Экспрессионизм?;1700
Какое движение последовало за движением Итальянское Возрождение?;Постимпрессионизм
В каком году было создано произведение "Пейзаж Рюген в Путбус"?;1824
В каком году закончилось движение Барокко в живописи?;1700
Какое движение последовало за движением Живопись Ренессанса?;Возрождение
К какому движению принадлежит произведение "Сюрреалистическая композиция"?;Сюрреализм
В каком году было создано произведение "Старик с внуком"?;1490
Кто создал произведение "Миссис Уильям Моррис"?;Данте Габриэль Россетти
Кто создал произведение "Ночь в гавани"?;Каспар Давид Фридрих
В каком году было создано произведение "Корабль дураков"?;1500
В каком году было создано произведение "Парусник"?;1815
Какое движение предшествовало движению Постимпрессионизм?;Импрессионизм
В каком году умер/умерла Александр Кабанель?;1889
В каком году родился/родилась Джим Дайн?;1935
Кто создал произведение "Пигмалион и Галатея"?;Жан-Леон Жером
В каком году закончилось движение Барокко?;1750
В каком году закончилось движение Кубизм?;1700
В каком году умер/умерла Якоб ван Лоо?;1670
Кто создал произведение "Руины монастыря Эльдена"?;Каспар Давид Фридрих
В каком году закончилось движение Неопомпейский стиль?;1700
К какому движению принадлежит произведение "Мадонна в скалах (Лондон)"?;Итальянское Возрождение
В каком году было создано произведение "Портрет-пейзаж"?;1890
Какое движение предшествовало движению Постимпрессионизм?;Импрессионизм
В каком году умер/умерла Чарльз Олстон Коллинз?;1873
Из какой страны происходит Якоб ван Рёйсдал?;Нидерланды
К какому движению принадлежит произведение "Апофеоз доллара"?;Сюрреализм
В каком году родился/родилась Эдвард Хоппер?;1882
Из какой страны происходит Франц фон Штук?;Германия
Какое движение последовало за движением Пуантилизм?;Раннее возрождение
К какому движению принадлежит Эжен Фромантен?;Ориентализм
В каком году умер/умерла Джон Уильям Годвард?;1922
В каком году зародилось движение Реализм?;1848
В каком году было создано произведение "Беседка"?;1818
В каком году было создано произведение "Портрет Джулиано Медичи"?;1478
Из какой страны происходит Анатолий Тимофеевич Зверев?;СССР
В каком году родился/родилась Жорж Дюмениль де Латур?;1593
В каком году было создано произведение "Сабинянки, останавливающие сражение между римлянами и сабинянами"?;1799
Какое движение предшествовало движению Символизм?;Импрессионизм
В каком году закончилось движение Барокко в живописи?;1700
Какое движение последовало за движением Импрессионизм?;Постимпрессионизм
В каком году родился/родилась Виктор Михайлович Васнецов?;1848
К какому движению принадлежит произведение "Бичевание Христа"?;Раннее Возрождение
В каком году родился/родилась Сандро Боттичелли?;1445
В каком году родился/родилась Анри Кросс?;1856
В каком году родился/родилась Амеде Озанфан?;1886
Какое движение последовало за движением Готика?;Возрождение
Кто создал произведение "Питайя"?;Фрида Кало
В каком году умер/умерла Аксели Галлен-Каллела?;1931
Какое движение последовало за движением Супрематизм?;Раннее возрождение
В каком году умер/умерла Антуан Ватто?;1721
В каком году закончилось движение Неопомпейский стиль?;1700
К какому движению принадлежит произведение "Северное сияние"?;Школа реки Гудзон
Из какой страны происходит Николаус Кнюпфер?;Нидерланды
К какому движению принадлежит произведение "Мегалитические могилы осенью"?;Романтизм
Какое движение предшествовало движению Каталонский модернизм?;Импрессионизм
Кто создал произведение "Развешивание омелы"?;Данте Габриэль Россетти
Какое движение последовало за движением Импрессионизм?;Постимпрессионизм
В каком году было создано произведение "Раненый ангел"?;1903
В каком году было создано произведение "Мадонна с младенцем и святой Анной"?;1519
Какое движение последовало за движением Академизм?;Ар-деко
Какое движение предшествовало движению Каталонский модернизм?;Импрессионизм
Какое движение последовало за движением Модернизм?;Раннее возрождение
В каком году родился/родилась Гленн Браун?;1966
К какому движению принадлежит произведение "Зимний пейзаж"?;Романтизм
В каком году было создано произведение "Святая Анна с Мадонной и младенцем Христом"?;1511
Какое движение последовало за движением Академизм?;Ар-деко
В каком году умер/умерла Иоахим Юттеваль?;1638
В каком году было создано произведение "Святой Христофор"?;1473
К какому движению принадлежит Жак Андре Жозеф Авед?;Рококо
В каком году было создано произведение "Мадонна в скалах (Лондон)"?;1494
К какому движению принадлежит произведение "Мадонна Диоталеви"?;Высокий Ренессанс
Какое движение последовало за движением Раннее Возрождение?;Высокий ренессанс
Кто создал произведение "Атомная Леда"?;Сальвадор Дали
В каком году было создано произведение "Туман"?;1807
Кто создал произведение "Зелёная полоса"?;Ольга Владимировна Розанова
В каком году было создано произведение "Жаклин"?;1961
В каком году закончилось движение Итальянская живопись эпохи Возрождения?;1700
Какое движение последовало за движением Кубофутуризм?;Возрождение
В каком году родился/родилась Франческо Гварди?;1712
В каком году умер/умерла Эжен Делакруа?;1863
К какому движению принадлежит Доменико Фонтана?;Маньеризм
Какое движение последовало за движением Импрессионизм?;Постимпрессионизм
Какое движение последовало за движением Проторенессанс?;Раннее возрождение
Из какой страны происходит Билл Вудроу?;Великобритания
Кто создал произведение "Вчерашняя роза"?;Данте Габриэль Россетти
В каком году закончилось движение Классицизм?;1700
К какому движению принадлежит произведение "Портрет пожилого мужчины"?;Ранняя нидерландская живопись
В каком году родился/родилась Амеде Озанфан?;1886
В каком году закончилось движение Итальянская живопись эпохи Возрождения?;1700
К какому движению принадлежит Томас Коул?;Школа реки Гудзон
В каком году закончилось движение Ранняя нидерландская живопись?;1560
К какому движению принадлежит Джорджоне?;Высокий Ренессанс
Какое движение последовало за движением Супрематизм?;Раннее возрождение
В каком году зародилось движение Рококо?;1800
В каком году закончилось движение Ранняя нидерландская живопись?;1560
Какое движение последовало за движением Академизм?;Ар-деко
К какому движению принадлежит Мариано Фортуни?;Ориентализм
К какому движению принадлежит Войтех Гинайс?;Академизм
В каком году было создано произведение "Портрет пожилого мужчины"?;1475
Какое движение последовало за движением Венецианская школа живописи?;Постимпрессионизм
Какое движение последовало за движением Модерн?;Ар-деко
В каком году зародилось движение Возрождение?;1300
Какое движение предшествовало движению Раннее Возрождение?;Проторенессанс
Какое движение последовало за движением Американский импрессионизм?;Раннее возрождение
В каком году закончилось движение Маньеризм?;1580
В каком году было создано произведение "Крест в лесу"?;1813
В каком году родился/родилась Одилон Редон?;1840
